stop_id,stop_code,stop_name,stop_lat,stop_lon,wheelchair_boarding
4-1014,1014,Plombières Mairie,47.339863,4.972911,0
4-1013,1013,Vallon,47.338875,4.975656,0
4-1012,1012,Combe aux Fées,47.337334,4.979671,0
4-1009,1009,Seize Vannes,47.332172,4.990087,1
4-1008,1008,Parc à Bateaux,47.329842,4.998231,0
4-1006,1006,CH La Chartreuse,47.322655,5.010938,1
4-1297,1297,Beauregard,47.28083,5.053618,1
4-745,745,Transvaal,47.315308,5.039304,1
4-739,739,Mazières,47.336205,5.039752,1
4-740,740,Houblonnière,47.332966,5.038913,0
4-679,679,1er Mai Foyer,47.314899,5.030601,1
4-901,901,Alger,47.311707,5.032783,0
4-744,744,Petit-Cîteaux,47.315193,5.034203,0
4-875,875,Chevreul Piscine,47.306866,5.04421,1
4-876,876,Chancenotte,47.305847,5.04699,1
4-877,877,Collège Lentillères,47.305119,5.052008,1
4-878,878,Péjoces,47.310623,5.060175,0
4-879,879,Mansart,47.313007,5.062851,1
4-881,881,Jeanne d'Arc,47.318249,5.065408,1
4-865,865,CHU - Hôpitaux,47.319016,5.065315,1
4-862,862,Laplace,47.332462,5.063036,0
4-971,971,St-Exupéry,47.336864,5.055012,1
4-970,970,Junot,47.339527,5.045534,1
4-158,158,Pierrat,47.28265,5.046304,0
4-730,730,Presles,47.356003,5.034503,0
4-1432,1432,Guesde,47.285202,5.068642,1
4-1614,1614,Chenôve Centre,47.294254,5.005972,1
4-429,429,Rue du Port,47.286057,5.041185,1
4-430,430,Romelet,47.286972,5.040054,1
4-432,432,Bertin,47.293678,5.037813,1
4-1323,1323,L'Ogive,47.294132,5.127311,1
4-1265,1265,Volnay,47.311417,5.014968,1
4-969,969,Terrillon,47.336418,5.032534,1
4-968,968,Suisse,47.334854,5.024365,1
4-1383,1383,Pasteur,47.295181,5.133399,1
4-1334,1334,Molière,47.302231,5.132617,1
4-1063,1063,Collège Rostand,47.317471,5.107895,1
4-1227,1227,Févret,47.31559,5.040628,0
4-1359,1359,Prés Potets,47.355846,5.026865,0
4-1187,1187,Cromois,47.314789,5.112759,1
4-417,417,St-Martin,47.338066,5.03598,0
4-36,36,La Fillotte,47.340141,5.005564,1
4-424,424,Les Charmes,47.345467,5.024648,0
4-1274,1274,Charton,47.285542,5.020405,1
4-767,767,Grands Clos,47.367718,5.020297,0
4-433,433,La Colombière,47.297813,5.039517,0
4-729,729,Les Plantes,47.364292,5.028337,0
4-43,43,Néruda,47.340504,4.989375,1
4-58,58,Visitation,47.304394,5.119828,1
4-291,291,Stade Poussots,47.305008,5.061662,1
4-307,307,Cottin,47.346378,5.013662,0
4-305,305,Confrérie,47.343197,5.018959,0
4-1010,1010,Chérains,47.334381,4.987191,1
4-817,817,Grande Légie,47.289513,5.109092,0
4-535,535,Dallas CRI,47.335987,5.061985,1
4-59,59,Lycée de Serres,47.307938,5.116241,0
4-57,57,Bois du Roy,47.303471,5.121897,1
4-47,47,Clématites,47.29998,5.134894,1
4-1052,1052,Capucines,47.302204,5.139973,0
4-893,893,Perret,47.301876,5.142774,0
4-892,892,Géraniums,47.298939,5.143678,0
4-891,891,Artisans,47.29311,5.146124,0
4-1353,1353,Trois Saffres,47.34713,5.030955,0
4-49,49,J. Moulin,47.292336,5.135301,0
4-821,821,Bassin,47.298199,5.103138,1
4-848,848,Dorain,47.292961,5.106003,0
4-847,847,Normand,47.291618,5.110299,0
4-816,816,Le Fort,47.288158,5.10586,1
4-815,815,Mimosas,47.290031,5.102808,0
4-1053,1053,Avenue de Tavaux,47.287743,5.133936,0
4-846,846,Montots,47.281403,5.106476,1
4-1054,1054,Excellence 2000,47.283379,5.133192,1
4-810,810,Racine,47.277931,5.111176,1
4-811,811,Corneille,47.278297,5.113166,0
4-1313,1313,Changey,47.354435,4.993286,1
4-799,799,Rue de Dijon,47.349991,5.001527,0
4-800,800,Bernard,47.35125,4.999603,0
4-1121,1121,Hauteville Mairie,47.364082,4.993712,0
4-858,858,Nation,47.347198,5.044215,1
4-224,224,Europe,47.353271,5.045781,0
4-226,226,Nation,47.346539,5.045122,0
4-732,732,Coteaux du Suzon,47.350704,5.039678,0
4-731,731,Touzet du Vigier,47.352673,5.03787,1
4-669,669,La Vapeur,47.345455,5.059091,1
4-1138,1138,Bressey ZA,47.30806,5.169686,0
4-974,974,Tire Pesseau,47.315777,5.005869,0
4-1191,1191,Allende,47.321312,5.106532,1
4-1190,1190,Prévert,47.320621,5.109038,0
4-1189,1189,Camus,47.319077,5.109646,0
4-783,783,Cortots,47.353821,5.026141,1
4-427,427,Belfontaine,47.352165,5.030322,1
4-1123,1123,Les Collines,47.367729,4.990953,0
4-822,822,Site funéraire Dijonmétropole,47.305206,5.092716,1
4-1311,1311,Alisiers,47.34705,5.001446,0
4-665,665,Churchill,47.353004,5.05341,1
4-666,666,Granville,47.350014,5.051907,1
4-667,667,Marcel Proust,47.348869,5.055848,0
4-463,463,Petit Ouges,47.254292,5.086114,0
4-464,464,De Gaulle,47.257435,5.08264,0
4-465,465,Ouges Mairie,47.262527,5.07514,0
4-466,466,Tilleul,47.26355,5.070736,0
4-1037,1037,Ecluse,47.279087,5.062643,1
4-1044,1044,Terminal,47.277939,5.069806,0
4-1140,1140,La Pringolle,47.232658,5.061679,0
4-1142,1142,Colleys,47.25732,5.04752,0
4-1034,1034,Perrigny Mairie,47.265778,5.006706,0
4-1033,1033,Tourelle,47.26704,5.005394,0
4-1032,1032,Terreau du Moulin,47.269733,5.00775,0
4-1031,1031,Lapostolet,47.273289,5.009634,0
4-1030,1030,Vignery,47.272686,5.006113,0
4-1029,1029,CAT - ESAT,47.274097,5.006156,1
4-1028,1028,Cap-Sud,47.278282,5.008984,0
4-962,962,Dardelain,47.278503,5.009881,1
4-1251,1251,Colombier,47.269653,4.990847,0
4-1250,1250,Méchalot,47.271873,4.991354,0
4-1249,1249,St-Vincent,47.27515,4.994492,0
4-923,923,Limburgerhof,47.291977,5.015317,0
4-922,922,Ferry,47.295017,5.017414,0
4-925,925,Collège Aymé,47.280235,5.003077,1
4-926,926,Rameau,47.278484,5.000185,0
4-378,378,Opaline,47.33308,5.090553,0
4-377,377,Marie de Bourgogne,47.33427,5.088867,1
4-1081,1081,Préfecture,47.324276,5.04218,1
4-1082,1082,Notre Dame,47.322853,5.041089,1
4-1084,1084,Darcy,47.322945,5.034845,0
4-1085,1085,St-Bénigne,47.321728,5.033725,0
4-1091,1091,Tivoli,47.31675,5.036915,0
4-1092,1092,Dumay,47.318668,5.038322,1
4-1093,1093,Cordeliers,47.318844,5.040078,1
4-214,214,Pôle Santé,47.361214,5.051032,0
4-1176,1176,Giroud,47.365314,5.049294,0
4-1208,1208,Brossolette,47.342079,4.990897,1
4-1205,1205,Milsand,47.308681,5.038532,1
4-1224,1224,Suquet,47.316036,5.033861,1
4-1270,1270,Sembat,47.297668,5.021794,0
4-1267,1267,St-Jacques,47.306999,5.02004,1
4-1278,1278,Claudel,47.306541,4.997402,0
4-1279,1279,Noisot,47.304111,4.998102,0
4-1298,1298,Verriers,47.300777,5.03632,0
4-1295,1295,Ateliers APF,47.290028,5.048768,1
4-1312,1312,Daix Mairie,47.352459,4.997809,0
4-1397,1397,Chambertin,47.366932,4.99869,0
4-1396,1396,La Paisse,47.368481,4.988009,0
4-1332,1332,Champs Creux,47.300652,5.122796,1
4-1402,1402,York,47.331009,5.059043,1
4-1389,1389,Pompon,47.333408,5.023339,0
4-1641,1641,Quetigny C. Cial,47.311481,5.103548,0
4-1656,1656,Tirbaude,47.328854,5.08921,1
4-15009,15009,Pièce Léger,47.277447,5.015462,1
4-1634,1634,La Combe,47.276241,5.118945,1
4-1633,1633,Neuilly Liberté,47.280014,5.107316,1
4-1678,1678,Beaux Arts,47.322258,5.042223,1
4-1679,1679,Cordeliers,47.318939,5.040996,1
4-1680,1680,Roussin,47.319851,5.038951,1
4-1681,1681,Bossuet,47.320805,5.037424,1
4-1713,1713,Fauconnet,47.338036,5.039619,1
4-10037,10037,Rente Neuve,47.275867,4.928575,0
4-179,179,Piscine Olympique,47.314747,5.08168,0
4-10004,10004,A. Patte,47.278042,4.919079,0
4-10005,10005,Les Pins,47.294617,4.937157,0
4-10006,10006,Corcelles les Monts,47.295242,4.94031,0
4-10007,10007,Combe à la Serpent,47.301582,4.961061,0
4-204,204,Valendons,47.301956,5.015116,0
4-10026,10026,St-Vincent de Paul,47.303272,4.990399,0
4-10042,10042,Bourvil,47.291016,5.130033,1
4-10043,10043,Trianon,47.288322,5.127894,1
4-10056,10056,Vaillant,47.329979,5.0446,1
4-10057,10057,Piot,47.306351,5.055048,1
4-695,695,Quantin,47.340832,5.057319,1
4-694,694,Joffre,47.340149,5.053471,1
4-691,691,Giraud,47.336212,5.051642,1
4-690,690,Alsace,47.334866,5.053162,0
4-689,689,Reims,47.333172,5.051991,0
4-104,104,Giono,47.352135,5.048664,1
4-633,633,Faubourg Raines,47.31744,5.026586,1
4-650,650,Rolin,47.315674,5.027755,1
4-630,630,Diebolt,47.313923,5.019104,1
4-629,629,Bourroches Eiffel,47.313198,5.013059,0
4-619,619,IME Montagne Ste-Anne,47.301666,4.990914,0
4-192,192,Valentin,47.288422,5.06034,1
4-661,661,Patte d'Oie,47.311794,5.003725,0
4-625,625,Dadolle,47.307842,4.999518,0
4-621,621,Sembel,47.304371,4.991102,0
4-1050,1050,La Garande,47.243221,5.112391,1
4-660,660,Noblemaire,47.31123,5.000507,0
4-1049,1049,Silo,47.241047,5.104704,0
4-10008,10008,Cent Ecus,47.310078,4.996215,1
4-647,647,Clos Chauveau,47.314606,5.000861,0
4-646,646,Lycée Marcs d'Or,47.315422,4.997858,0
4-645,645,Paupion,47.316231,4.995621,0
4-644,644,CFA-BTP,47.316887,4.991723,0
4-643,643,Saulx Tavannes,47.316982,4.989161,0
4-1405,1405,Duhamel,47.283974,5.056609,1
4-195,195,Longvic Mairie,47.284534,5.062921,1
4-10031,10031,Blés d'Or,47.285854,5.066612,0
4-10032,10032,Longvic Centre,47.287155,5.062842,1
4-10033,10033,Pommerets,47.294155,5.055764,1
4-190,190,Tamaris,47.296463,5.054069,1
4-189,189,Bourillot,47.29821,5.052874,1
4-186,186,Chancenotte,47.305515,5.04737,1
4-185,185,Piscine Carrousel,47.307613,5.04655,1
4-184,184,Le Nôtre,47.310204,5.045411,1
4-183,183,Princes de Condé,47.313095,5.044221,1
4-181,181,Bibliothèque,47.319057,5.043226,1
4-329,329,Zipfel,47.30196,5.066337,1
4-1196,1196,Bouhey,47.291317,5.058636,1
4-327,327,Le Jolivet,47.306351,5.059216,0
4-325,325,Guibaudet,47.310528,5.0535,0
4-324,324,Prison,47.312351,5.051303,1
4-323,323,De Musset,47.314137,5.048496,1
4-453,453,Ravel,47.301395,5.039884,0
4-451,451,Attiret,47.303974,5.040901,1
4-681,681,Stéarinerie,47.304138,5.034597,0
4-447,447,INSPE,47.310749,5.038702,0
4-446,446,Bordot,47.312954,5.040151,1
4-1217,1217,Dumont,47.314091,5.041214,1
4-831,831,Parc des Sports,47.322273,5.065772,1
4-361,361,Doumer,47.321873,5.061344,1
4-360,360,Strasbourg,47.321449,5.058278,1
4-359,359,SNCF Porte Neuve,47.321552,5.055106,1
4-1373,1373,Dupuis,47.32629,5.038033,1
4-77,77,Spuller,47.326069,5.030463,1
4-76,76,Génois,47.329323,5.024947,1
4-75,75,Ziem,47.330811,5.022467,1
4-725,725,Petit Bernard,47.30706,5.034017,0
4-532,532,Place des Savoirs,47.331139,5.067668,1
4-533,533,Seguin,47.333035,5.068189,1
4-531,531,Ste-Bernadette,47.331367,5.065641,1
4-905,905,D'Alembert,47.331329,5.063746,1
